Clau/var,Iterações,Achado
0.46153846153846156,71,True
0.35714285714285715,100,True
0.36363636363636365,35,True
0.75,180,False
0.625,12,True
0.5714285714285714,104,False
1.1666666666666667,6,True
1.2,475,False
1.3333333333333333,2,True
1.5555555555555556,289,False
1.8571428571428572,104,False
1.75,3,True
2.3333333333333335,10,False
2.1666666666666665,66,False
2.2,4,True
2.6666666666666665,10,False
2.75,3,True
2.8,36,False
3.25,24,False
3.4,36,False
3.3333333333333335,2,True
3.6666666666666665,10,False
3.6,36,False
3.75,24,False
4.25,3,True
4.333333333333333,10,False
4.666666666666667,10,False
4.75,24,False
