Clau/var,Iterações,Achado
0.4666666666666667,1,True
0.45454545454545453,189,False
0.375,714,False
0.5625,1,True
0.6363636363636364,1,True
0.7692307692307693,350,False
1.4444444444444444,86,False
1.1818181818181819,178,False
1.4,1,True
1.5555555555555556,79,False
1.7777777777777777,77,False
2.25,64,False
2.1666666666666665,27,False
2.125,60,False
2.75,13,False
2.6666666666666665,1,True
2.6666666666666665,28,False
3.2,17,False
3.1666666666666665,27,False
3.3333333333333335,6,False
3.6,16,False
3.6666666666666665,6,False
3.75,12,False
4.2,16,False
4.333333333333333,6,False
4.25,10,False
4.666666666666667,6,False
4.75,12,False
