Clau/var,Iterações
1.6666666666666667,2
2.0,7
1.6666666666666667,7
2.6666666666666665,1
3.0,4
3.0,6
1.75,11
1.4,23
0.8,27
0.6,25
1.0,4
1.5,9
1.3333333333333333,5
2.6666666666666665,7
0.4444444444444444,289
0.375,21
1.5,9
0.75,3
1.6,17
1.5,7
1.1666666666666667,23
2.6666666666666665,1
3.0,6
2.3333333333333335,6
1.0,11
1.75,0
1.75,12
1.6,7
2.25,4
2.6666666666666665,3
1.1666666666666667,36
3.0,1
1.4,4
1.4,20
1.1666666666666667,18
0.5,220
0.6666666666666666,17
1.4,13
1.75,3
2.6666666666666665,0
1.0,1
0.8571428571428571,100
0.5,66
0.8,1
0.6,26
0.42857142857142855,127
3.3333333333333335,0
0.5,219
0.8571428571428571,96
3.3333333333333335,7
2.0,4
3.3333333333333335,7
1.4,30
3.3333333333333335,2
1.0,4
0.3,941
1.5,2
2.0,12
0.75,7
3.3333333333333335,3
3.3333333333333335,7
1.1666666666666667,34
2.3333333333333335,5
3.3333333333333335,4
1.6666666666666667,0
1.5,0
2.3333333333333335,3
2.25,11
0.42857142857142855,125
1.6666666666666667,2
1.6666666666666667,0
1.1666666666666667,28
2.0,6
1.4,16
1.0,31
3.3333333333333335,3
1.2,28
0.8571428571428571,7
3.3333333333333335,2
0.8,15
1.0,9
1.4,11
3.0,4
1.0,26
2.0,7
0.3333333333333333,197
2.6666666666666665,1
3.3333333333333335,3
1.0,5
1.0,30
0.8,17
0.375,238
0.42857142857142855,43
1.4,27
3.0,2
0.3,921
1.6,30
3.0,6
1.0,13
0.5714285714285714,61
0.6666666666666666,40
3.3333333333333335,6
1.0,15
3.0,4
2.25,15
0.375,228
3.3333333333333335,3
0.3333333333333333,486
0.3333333333333333,175
1.4,3
3.0,6
2.6666666666666665,1
1.0,12
1.2,6
1.0,28
3.3333333333333335,2
0.7142857142857143,69
3.0,1
1.75,5
0.5,3
0.3333333333333333,332
1.6,30
3.3333333333333335,7
0.42857142857142855,101
1.1666666666666667,31
2.0,3
3.3333333333333335,7
2.0,2
2.25,7
0.4444444444444444,41
3.3333333333333335,5
2.6666666666666665,2
3.0,7
1.0,4
2.6666666666666665,6
0.5,64
0.8571428571428571,19
2.25,4
0.42857142857142855,3
3.3333333333333335,1
1.4,8
2.6666666666666665,7
2.0,7
1.5,5
2.3333333333333335,5
3.3333333333333335,7
0.4444444444444444,503
1.2,29
2.3333333333333335,7
1.6666666666666667,2
0.7142857142857143,106
2.0,5
0.5714285714285714,81
3.0,2
0.3333333333333333,8
1.0,0
0.5,114
1.4,17
1.25,2
0.6666666666666666,6
3.3333333333333335,1
1.6,29
1.3333333333333333,5
3.3333333333333335,1
3.3333333333333335,6
1.4,25
2.25,12
2.25,1
1.6666666666666667,4
3.0,3
0.5714285714285714,48
2.25,8
1.2,14
2.0,8
0.8,14
1.0,2
0.5,145
1.1666666666666667,31
0.8571428571428571,3
1.6666666666666667,4
0.5,228
1.25,5
0.6,29
0.7142857142857143,91
0.6666666666666666,50
1.75,14
0.75,5
2.25,6
1.6,0
2.25,3
0.3333333333333333,496
1.25,4
1.3333333333333333,1
3.3333333333333335,1
3.3333333333333335,4
1.0,12
2.6666666666666665,0
3.3333333333333335,4
1.4,0
1.2,13
1.75,7
2.25,13
1.25,1
1.4,1
2.6666666666666665,5
0.42857142857142855,7
0.8571428571428571,30
1.0,6
2.25,10
0.7142857142857143,124
2.25,10
2.0,5
1.1666666666666667,26
3.3333333333333335,3
0.625,255
1.1666666666666667,63
1.6,11
2.0,4
3.3333333333333335,0
1.6666666666666667,4
2.6666666666666665,2
0.4444444444444444,450
1.2,5
0.75,4
0.8571428571428571,48
3.3333333333333335,1
3.0,3
1.3333333333333333,1
1.6,1
1.75,6
0.625,54
1.75,0
3.0,3
1.75,4
1.4,11
0.5,2
1.1666666666666667,62
1.2,27
0.625,64
1.4,23
0.3333333333333333,290
0.5,160
0.625,223
1.0,2
2.0,6
2.6666666666666665,5
0.8333333333333334,1
0.7142857142857143,92
0.375,21
0.75,6
2.6666666666666665,2
1.0,16
0.6666666666666666,10
1.75,11
1.6,10
2.0,1
2.0,12
0.42857142857142855,22
3.3333333333333335,6
1.25,9
1.6,27
1.0,6
2.3333333333333335,4
1.3333333333333333,1
2.0,4
0.42857142857142855,23
0.8571428571428571,89
2.25,9
0.4444444444444444,168
0.3,467
0.375,44
1.2,28
3.3333333333333335,4
1.6,1
0.5,41
2.25,6
3.3333333333333335,5
0.4444444444444444,22
2.0,4
1.0,0
1.1666666666666667,63
2.25,2
1.0,31
1.75,10
0.8571428571428571,109
2.25,5
2.6666666666666665,2
3.3333333333333335,2
2.0,0
0.3333333333333333,312
3.3333333333333335,0
1.0,23
0.3333333333333333,276
2.25,15
0.8333333333333334,29
1.0,41
0.8,4
2.25,13
1.0,2
1.0,48
0.75,14
1.0,8
2.25,0
1.2,31
0.625,145
0.42857142857142855,27
3.3333333333333335,1
1.1666666666666667,0
2.3333333333333335,3
1.4,13
3.3333333333333335,3
2.3333333333333335,1
0.375,69
1.2,23
3.0,2
1.4,15
2.0,2
1.0,52
1.2,6
3.0,2
3.3333333333333335,2
1.0,15
1.0,3
3.3333333333333335,3
0.4444444444444444,306
0.8571428571428571,90
0.5714285714285714,40
1.6,17
1.75,11
3.3333333333333335,3
3.3333333333333335,6
1.4,31
2.3333333333333335,0
2.0,6
1.6666666666666667,7
2.6666666666666665,1
2.25,15
1.75,3
3.3333333333333335,4
1.6,1
0.8571428571428571,70
0.42857142857142855,61
1.0,19
2.3333333333333335,4
1.6,21
1.6666666666666667,0
0.625,6
3.0,0
2.0,15
3.3333333333333335,5
1.0,5
1.6,14
0.4444444444444444,69
1.6666666666666667,5
2.25,7
0.75,7
2.3333333333333335,7
1.0,12
2.3333333333333335,3
1.4,29
3.0,1
1.4,2
1.3333333333333333,4
3.0,2
2.0,2
2.6666666666666665,3
1.0,0
1.6,31
2.6666666666666665,5
2.25,9
0.7142857142857143,115
0.7142857142857143,121
2.6666666666666665,1
2.0,8
1.0,4
3.3333333333333335,1
3.3333333333333335,3
0.6,14
0.5714285714285714,34
0.8,8
2.25,2
1.75,4
1.2,24
1.6666666666666667,5
3.3333333333333335,7
1.4,4
1.2,11
1.3333333333333333,6
0.75,10
2.0,9
2.3333333333333335,5
1.6666666666666667,1
0.8571428571428571,67
0.7142857142857143,89
2.6666666666666665,3
3.3333333333333335,5
1.2,23
3.0,4
1.6666666666666667,7
3.3333333333333335,6
0.5,241
1.6,17
0.8,11
0.375,173
0.75,14
0.6666666666666666,47
1.6,9
1.5,11
3.3333333333333335,6
1.4,11
1.0,7
0.8571428571428571,74
3.3333333333333335,7
0.5,187
0.5,143
0.8333333333333334,4
0.7142857142857143,124
