Clau/var,Iterações,Achado
0.5714285714285714,8,True
3.0,2,True
1.5,3,True
3.3333333333333335,6,True
2.6666666666666665,2,True
0.375,12,True
2.25,9,True
2.25,3,True
3.3333333333333335,2,True
3.3333333333333335,8,True
0.3,50,True
1.25,6,True
3.3333333333333335,10,False
2.25,24,False
0.625,24,True
1.2,12,True
1.4,8,True
1.0,6,True
3.3333333333333335,2,True
0.6666666666666666,6,True
3.3333333333333335,8,True
2.3333333333333335,2,True
3.0,10,False
3.3333333333333335,4,True
2.3333333333333335,10,False
2.0,12,True
0.5,12,True
3.0,2,True
3.3333333333333335,4,True
0.4444444444444444,34,True
