Clau/var,Cla,Var
0.36363636363636365,4,11
0.8461538461538461,11,13
1.25,5,4
1.6,8,5
2.3333333333333335,14,6
2.6666666666666665,8,3
3.3333333333333335,10,3
3.6666666666666665,11,3
4.333333333333333,13,3
4.666666666666667,14,3
